trial,truth,z_A,dec_A,z_B,dec_B,team_UW,team_WCS,team_DSS,team_CF,team_BF
3652,0,-1.0555201238766485,0,-1.7895630058952956,0,0,0,0,0,0
3653,0,-3.429505302249035,0,-2.032525136316416,0,0,0,0,0,0
3654,0,0.03439959116133706,1,-0.535116007925349,0,0,0,0,1,1
3655,0,-0.4989873603381167,0,-1.2425590491955116,0,0,0,0,0,0
3656,0,-0.5000743433980979,0,-1.6582338539842967,0,0,0,0,0,0
3657,0,-1.002824671110818,0,-1.0370699550048426,0,0,0,0,0,0
3658,1,0.024782159867217213,1,-0.3614858290789228,0,0,0,0,0,1
3659,0,-0.9695804268304298,0,-0.389865668765781,0,0,0,0,0,0
3660,0,-0.13683912887272054,0,-1.0204707883142614,0,0,0,0,0,0
3661,1,1.2391177730333505,1,-0.13913435825007248,0,1,1,1,1,1
3662,1,0.36896841162540156,1,0.39513428177870713,1,1,1,1,1,1
3663,1,1.548937494316759,1,1.4142415707354243,1,1,1,1,1,1
3664,0,-0.6789741810174776,0,1.0707454654887907,1,1,1,1,0,0
3665,0,-1.1042264181236554,0,-0.2522324375159354,0,0,0,0,0,0
3666,0,-0.40158442509263564,0,-0.1744568812294798,0,0,0,0,0,0
3667,0,-1.9593864184938603,0,-0.583187017295841,0,0,0,0,0,0
3668,0,-0.36728169092075147,0,0.08124862005907846,1,0,0,0,0,0
3669,1,-0.9421821055263716,0,0.7902193605841389,1,0,0,0,1,0
3670,0,-1.627726959983764,0,0.9258476830884123,1,0,0,0,0,0
3671,1,-1.4186914067166243,0,-1.488704629155429,0,0,0,0,0,0
3672,0,-0.7751169526715006,0,-0.6344977437122078,0,0,0,0,0,0
3673,0,1.009633702309094,1,-0.06081013087235626,0,1,1,1,1,1
3674,1,0.48292333891856487,1,0.37371604245788875,1,1,1,1,1,1
3675,1,1.243585379433127,1,-0.539173032096112,0,1,1,1,0,1
3676,0,1.7523138973123888,1,-1.6993666792404776,0,1,1,1,1,1
3677,1,1.0040558481200959,1,1.206322426028862,1,1,1,1,1,1
3678,0,-1.3652120445880223,0,-1.1569258503964148,0,0,0,0,0,0
3679,0,-1.2275686027358372,0,-2.154900491505602,0,0,0,0,0,0
3680,1,0.6006582082230062,1,1.2565728600098982,1,1,1,1,1,1
3681,0,-1.2328946452609244,0,0.05898290044606541,1,0,0,0,1,0
3682,0,-1.158086999813432,0,-0.5158740974582354,0,0,0,0,0,0
3683,0,0.3852539092594899,1,-1.3145515927610285,0,0,0,0,0,1
3684,0,0.42615628077221224,1,-0.5134414433704939,0,0,0,0,1,1
3685,0,-2.246892482048664,0,0.8155876005192052,1,0,0,0,1,0
3686,0,-1.4181695179002196,0,-2.0146992860287996,0,0,0,0,0,0
3687,1,0.1359956130866074,1,-1.163977616739594,0,0,0,0,1,1
3688,1,1.199088946165252,1,-0.22776532291241047,0,1,1,1,0,1
3689,0,0.5430755885056563,1,-0.4266436867932051,0,1,1,1,1,1
3690,0,2.1019679342738837,1,-0.8962918978837806,0,1,1,1,0,1
3691,1,0.13432670371733857,1,1.0428165751670195,1,1,1,1,1,1
3692,0,-1.0157287143420288,0,0.6888339444483472,1,0,0,0,0,0
3693,1,1.1885700156377141,1,0.6787687746074679,1,1,1,1,1,1
